Wielomian interpolacyjny Newtona w punktach le¿¹cych w przedziale <-3,3>
dla funkcji f(x)=|cos(x)*x|
Wezly rownolegle n=7
Wartosci w wezlach:
x0: -3                  y0: 2.96998
x1: -2.14286            y1: 1.16007
x2: -1.28571            y2: 0.361589
x3: -0.428571           y3: 0.389812
x4: 0.428571            y4: 0.389812
x5: 1.28571             y5: 0.361589
x6: 2.14286             y6: 1.16007
x7: 3                   y7: 2.96998

Wartosci w 150 wezlach
i     x       f(x)                L(x)                error
129   2.16    1.20031             1.18946             0.0108534           
130   2.2     1.2947              1.26002             0.0346823           
131   2.24    1.38961             1.3333              0.0563089           
132   2.28    1.4848              1.40919             0.075611            
133   2.32    1.58005             1.48757             0.0924803           
134   2.36    1.67511             1.56829             0.106824            
135   2.4     1.76974             1.65118             0.118566            
136   2.44    1.86371             1.73606             0.127648            
137   2.48    1.95676             1.82272             0.134033            
138   2.52    2.04864             1.91093             0.137705            
139   2.56    2.13911             2.00044             0.138669            
140   2.6     2.22791             2.09095             0.136957            
141   2.64    2.3148              2.18217             0.132625            
142   2.68    2.39952             2.27377             0.125756            
143   2.72    2.48183             2.36537             0.116465            
144   2.76    2.56148             2.45658             0.104896            
145   2.8     2.63822             2.547               0.0912252           
146   2.84    2.71182             2.63615             0.0756628           
147   2.88    2.78202             2.72356             0.0584556           
148   2.92    2.8486              2.80871             0.0398873           
149   2.96    2.91133             2.89105             0.0202808           
150   3       2.96998             2.96998             2.30926e-14         

Wezly optymalne n=7
Wartosci w wezlach:
x0: 2.94236             y0: 2.88415
x1: 2.49441             y1: 1.99
x2: 1.66671             y2: 0.159617
x3: 0.585271            y3: 0.48786
x4: -0.585271           y4: 0.48786
x5: -1.66671            y5: 0.159617
x6: -2.49441            y6: 1.99
x7: -2.94236            y7: 2.88415

Wartosci w 150 wezlach
i     x       f(x)                L(x)                error
0     -3      2.96998             2.88274             0.0872366           
1     -2.96   2.91133             2.88811             0.0232189           
2     -2.92   2.8486              2.87396             0.0253618           
3     -2.88   2.78202             2.84239             0.0603672           
4     -2.84   2.71182             2.79535             0.0835375           
5     -2.8    2.63822             2.73472             0.096495            
6     -2.76   2.56148             2.66223             0.100749            
7     -2.72   2.48183             2.57953             0.097698            
8     -2.68   2.39952             2.48816             0.0886374           
9     -2.64   2.3148              2.38956             0.0747597           
10    -2.6    2.22791             2.28507             0.0571606           
11    -2.56   2.13911             2.17595             0.0368423           
12    -2.52   2.04864             2.06336             0.0147175           
13    -2.48   1.95676             1.94837             0.00838695          
14    -2.44   1.86371             1.83198             0.0317261           
15    -2.4    1.76974             1.71511             0.0546333           
16    -2.36   1.67511             1.59859             0.0765167           
17    -2.32   1.58005             1.48319             0.0968554           
18    -2.28   1.4848              1.36961             0.115196            
19    -2.24   1.38961             1.25846             0.13115             
20    -2.2    1.2947              1.15031             0.144388            
21    -2.16   1.20031             1.04567             0.15464             
22    -2.12   1.10666             0.94497             0.161688            
23    -2.08   1.01396             0.848596            0.165366            
24    -2.04   0.922439            0.756882            0.165557            
25    -2      0.832294            0.670107            0.162186            
26    -1.96   0.743725            0.588503            0.155222            
27    -1.92   0.656927            0.512256            0.144672            
28    -1.88   0.572084            0.441507            0.130577            
29    -1.84   0.489374            0.376359            0.113015            
30    -1.8    0.408964            0.316873            0.0920907           
